Position,Goals,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Hit woodwork,Big chances missed,Clean sheets,Goals conceded,Tackles,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Through balls,Accurate long balls,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Yellow cards,Red cards,Fouls,Offsides,Appearances
Midfielder,1,0.0,1.0,0.0,0.0,0.0,51.0,10.0,1.0,2.0,0.0,0.0,115.0,0.0,11.0,57.0,48.0,23.0,0.0,239.0,285.0,261.0,79.0,48.0,49.0,0.0,1.0,0,1441,27.71,1.0,14.0,6.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1,74,2.0,52
Midfielder,0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,9.0,0.0,3.0,1.0,1.0,0.0,0.0,15.0,17.0,22.0,2.0,3.0,5.0,0.0,0.0,0,98,10.89,0.0,23.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,1.0,9
Midfielder,12,2.0,9.0,1.0,2.0,1.0,97.0,38.0,1.0,3.0,0.0,0.0,101.0,0.0,29.0,37.0,48.0,15.0,0.0,313.0,216.0,387.0,21.0,49.0,123.0,0.0,0.0,15,2937,31.58,35.0,522.0,17.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,67,22.0,93
Midfielder,30,1.0,12.0,15.0,0.0,0.0,274.0,96.0,8.0,24.0,0.0,0.0,322.0,0.0,91.0,166.0,126.0,49.0,0.0,839.0,886.0,1078.0,209.0,120.0,249.0,0.0,0.0,28,6407,32.36,25.0,489.0,47.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0,142,57.0,198
Midfielder,2,1.0,0.0,1.0,0.0,0.0,93.0,26.0,2.0,4.0,0.0,0.0,140.0,0.0,31.0,62.0,66.0,24.0,0.0,345.0,372.0,456.0,116.0,52.0,124.0,0.0,0.0,7,1971,21.42,13.0,329.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,70,15.0,92
Midfielder,2,1.0,1.0,0.0,0.0,0.0,80.0,15.0,2.0,6.0,0.0,0.0,187.0,0.0,22.0,151.0,134.0,54.0,0.0,673.0,456.0,472.0,112.0,112.0,89.0,0.0,2.0,7,4384,43.84,7.0,67.0,7.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1,105,3.0,100
Midfielder,0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,0.0,1.0,0.0,0.0,34.0,0.0,7.0,15.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,681,32.43,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,21,3.0,21
Forward,6,0.0,3.0,3.0,0.0,0.0,45.0,14.0,3.0,8.0,0.0,0.0,23.0,0.0,8.0,11.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,772,23.39,7.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,17,4.0,33
Forward,12,3.0,3.0,6.0,2.0,0.0,101.0,41.0,1.0,11.0,0.0,0.0,21.0,0.0,31.0,5.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,710,18.21,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,38,15.0,39
Forward,2,0.0,2.0,0.0,0.0,0.0,34.0,8.0,2.0,0.0,0.0,0.0,41.0,0.0,10.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,401,12.94,2.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,21,7.0,31
Forward,5,0.0,5.0,0.0,0.0,0.0,67.0,19.0,0.0,3.0,0.0,0.0,38.0,0.0,19.0,21.0,32.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,728,15.49,4.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,26,18.0,47
Forward,4,0.0,4.0,0.0,0.0,0.0,43.0,16.0,0.0,5.0,0.0,0.0,8.0,0.0,14.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,161,6.19,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,17,16.0,26
Forward,4,2.0,2.0,0.0,0.0,0.0,20.0,9.0,0.0,3.0,0.0,0.0,11.0,0.0,6.0,3.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,177,6.81,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,30,4.0,26
Goalkeeper,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,2124,28.7,0.0,0.0,0.0,647.0,237.0,2.0,29.0,100.0,18.0,45.0,300.0,605.0,4,0,1,0.0,74
